Vehicle_ID,Frame_ID,Local_X,Local_Y,v_Vel
580,2742,11.0375,3.70788,4.3491
580,2743,11.0006,3.46346,4.40957
580,2744,10.9574,3.22793,4.48047
580,2745,10.9114,2.9924,4.55937
580,2746,10.8633,2.75465,4.64457
580,2747,10.8135,2.51263,4.73475
580,2748,10.7598,2.27207,4.82889
580,2749,10.702,2.03345,4.92618
580,2750,10.6391,1.80032,5.02597
580,2751,10.5717,1.57113,5.12766
580,2752,10.4997,1.34588,5.23068
580,2753,10.4243,1.12137,5.32798
580,2754,10.346,0.897206,5.35935
580,2755,10.267,0.669887,5.34702
580,2756,10.186,0.444044,5.33396
580,2757,10.103,0.218259,5.33375
580,2758,10.0178,-0.00801233,5.33931
580,2759,9.9305,-0.237114,5.35382
580,2760,9.84077,-0.471819,5.37582
580,2761,9.84077,-0.471819,5.37582
580,2762,9.74809,-0.711673,5.40621
580,2763,9.44741,-1.44322,5.52363
580,2764,9.33963,-1.67956,5.55864
580,2765,9.2285,-1.90932,5.61504
580,2766,9.11599,-2.1393,5.48833
580,2767,9.0029,-2.36985,5.31129
580,2768,8.8893,-2.59987,5.14679
580,2769,8.77992,-2.8315,4.61714
580,2770,8.67644,-3.06599,4.07537
580,2771,8.57877,-3.30342,3.53741
580,2772,8.57877,-3.30342,3.53741
580,2773,8.39707,-3.78647,2.756
580,2774,8.30076,-4.02199,3.02736
580,2775,8.30076,-4.02199,3.02736
580,2776,8.19727,-4.25157,3.25947
580,2777,7.97184,-4.69541,3.64716
580,2778,7.97184,-4.69541,3.64716
580,2779,7.85206,-4.90828,3.81708
580,2780,7.72747,-5.11697,3.97565
580,2781,7.72747,-5.11697,3.97565
580,2782,7.32376,-5.72406,4.4043
580,2783,7.18,-5.9196,4.53631
580,2784,7.03187,-6.1116,4.66456
580,2785,6.87956,-6.29977,4.78973
580,2786,6.72321,-6.4838,4.91238
580,2787,6.56305,-6.66313,5.03294
580,2788,6.49881,-6.58304,5.15174
580,2789,6.39925,-6.83729,5.15174
580,2790,6.23215,-7.00593,5.26839
580,2791,6.0621,-7.16881,5.36867
580,2792,5.89025,-7.32674,5.38564
580,2793,5.7175,-7.48059,5.38122
580,2794,5.5438,-7.62979,5.37234
580,2795,5.36935,-7.77411,5.3781
580,2796,5.36935,-7.77411,5.3781
580,2797,5.19428,-7.91323,5.38861
580,2798,5.01874,-8.04697,5.4087
580,2799,4.84277,-8.17518,5.43595
